frame.time_epoch,ip.src,ip.dst,aligned_epoch,aligned_ts,abs_delta_s,second_bin
1678920339.597209,185.175.0.3,185.175.0.8,1678931139.597209,2023-03-16 01:45:39.597208977,948.624791023,2023-03-16 01:45:39
1678920341.609214,185.175.0.3,185.175.0.8,1678931141.609214,2023-03-16 01:45:41.609214067,946.612785933,2023-03-16 01:45:41
1678920348.581345,185.175.0.3,185.175.0.8,1678931148.581345,2023-03-16 01:45:48.581345081,939.640654919,2023-03-16 01:45:48
1678920349.61321,185.175.0.3,185.175.0.8,1678931149.61321,2023-03-16 01:45:49.613209963,938.608790037,2023-03-16 01:45:49
1678920351.625203,185.175.0.3,185.175.0.8,1678931151.625203,2023-03-16 01:45:51.625202894,936.596797106,2023-03-16 01:45:51
1678920358.589885,185.175.0.3,185.175.0.8,1678931158.589885,2023-03-16 01:45:58.589884996,929.632115004,2023-03-16 01:45:58
1678920359.597211,185.175.0.3,185.175.0.8,1678931159.597211,2023-03-16 01:45:59.597210884,928.624789116,2023-03-16 01:45:59
1678920361.613201,185.175.0.3,185.175.0.8,1678931161.613201,2023-03-16 01:46:01.613200903,926.608799097,2023-03-16 01:46:01
1678920368.597356,185.175.0.3,185.175.0.8,1678931168.597356,2023-03-16 01:46:08.597356081,919.624643919,2023-03-16 01:46:08
1678920369.613209,185.175.0.3,185.175.0.8,1678931169.613209,2023-03-16 01:46:09.613209009,918.608790991,2023-03-16 01:46:09
1678920371.62922,185.175.0.3,185.175.0.8,1678931171.62922,2023-03-16 01:46:11.629220009,916.592779991,2023-03-16 01:46:11
1678920378.605346,185.175.0.3,185.175.0.8,1678931178.605346,2023-03-16 01:46:18.605345964,909.616654036,2023-03-16 01:46:18
1678920379.629218,185.175.0.3,185.175.0.8,1678931179.629218,2023-03-16 01:46:19.629218102,908.592781898,2023-03-16 01:46:19
1678920381.645205,185.175.0.3,185.175.0.8,1678931181.645205,2023-03-16 01:46:21.645205021,906.576794979,2023-03-16 01:46:21
1678920388.613339,185.175.0.3,185.175.0.8,1678931188.613339,2023-03-16 01:46:28.613338947,899.608661053,2023-03-16 01:46:28
1678920389.645307,185.175.0.3,185.175.0.8,1678931189.645307,2023-03-16 01:46:29.645307064,898.576692936,2023-03-16 01:46:29
1678920389.645346,185.175.0.8,185.175.0.3,1678931189.645346,2023-03-16 01:46:29.645345926,898.576654074,2023-03-16 01:46:29
1678920389.64538,185.175.0.3,185.175.0.8,1678931189.64538,2023-03-16 01:46:29.645380020,898.57661998,2023-03-16 01:46:29
1678920389.645547,185.175.0.3,185.175.0.8,1678931189.645547,2023-03-16 01:46:29.645546913,898.576453087,2023-03-16 01:46:29
1678920389.645565,185.175.0.8,185.175.0.3,1678931189.645565,2023-03-16 01:46:29.645565033,898.576434967,2023-03-16 01:46:29
1678920394.649366,185.175.0.3,185.175.0.8,1678931194.649366,2023-03-16 01:46:34.649365902,893.572634098,2023-03-16 01:46:34
1678920394.697197,185.175.0.8,185.175.0.3,1678931194.697197,2023-03-16 01:46:34.697196960,893.52480304,2023-03-16 01:46:34
1678920399.653347,185.175.0.3,185.175.0.8,1678931199.653347,2023-03-16 01:46:39.653347015,888.568652985,2023-03-16 01:46:39
1678920400.681214,185.175.0.3,185.175.0.8,1678931200.681214,2023-03-16 01:46:40.681214094,887.540785906,2023-03-16 01:46:40
1678920402.701368,185.175.0.3,185.175.0.8,1678931202.701368,2023-03-16 01:46:42.701368093,885.520631907,2023-03-16 01:46:42
1678920409.665337,185.175.0.3,185.175.0.8,1678931209.665337,2023-03-16 01:46:49.665337086,878.556662914,2023-03-16 01:46:49
1678920409.665364,185.175.0.8,185.175.0.3,1678931209.665364,2023-03-16 01:46:49.665364027,878.556635973,2023-03-16 01:46:49
1678920409.665392,185.175.0.3,185.175.0.8,1678931209.665392,2023-03-16 01:46:49.665391922,878.556608078,2023-03-16 01:46:49
1678920409.68121,185.175.0.3,185.175.0.8,1678931209.68121,2023-03-16 01:46:49.681210041,878.540789959,2023-03-16 01:46:49
1678920411.693423,185.175.0.3,185.175.0.8,1678931211.693423,2023-03-16 01:46:51.693423033,876.528576967,2023-03-16 01:46:51
1678920419.677365,185.175.0.3,185.175.0.8,1678931219.677365,2023-03-16 01:46:59.677365065,868.544634935,2023-03-16 01:46:59
1678920420.6812,185.175.0.3,185.175.0.8,1678931220.6812,2023-03-16 01:47:00.681200027,867.540799973,2023-03-16 01:47:00
1678920422.701209,185.175.0.3,185.175.0.8,1678931222.701209,2023-03-16 01:47:02.701209068,865.520790932,2023-03-16 01:47:02
1678920429.689354,185.175.0.3,185.175.0.8,1678931229.689354,2023-03-16 01:47:09.689353943,858.532646057,2023-03-16 01:47:09
1678920430.701194,185.175.0.3,185.175.0.8,1678931230.701194,2023-03-16 01:47:10.701194048,857.520805952,2023-03-16 01:47:10
1678920432.717206,185.175.0.3,185.175.0.8,1678931232.717206,2023-03-16 01:47:12.717206001,855.504793999,2023-03-16 01:47:12
1678920439.697349,185.175.0.3,185.175.0.8,1678931239.697349,2023-03-16 01:47:19.697349072,848.524650928,2023-03-16 01:47:19
1678920440.717204,185.175.0.3,185.175.0.8,1678931240.717204,2023-03-16 01:47:20.717204094,847.504795906,2023-03-16 01:47:20
1678920442.733208,185.175.0.3,185.175.0.8,1678931242.733208,2023-03-16 01:47:22.733207941,845.488792059,2023-03-16 01:47:22
1678920449.705408,185.175.0.3,185.175.0.8,1678931249.705408,2023-03-16 01:47:29.705408096,838.516591904,2023-03-16 01:47:29
1678920450.733243,185.175.0.3,185.175.0.8,1678931250.733243,2023-03-16 01:47:30.733242989,837.488757011,2023-03-16 01:47:30
1678920452.745211,185.175.0.3,185.175.0.8,1678931252.745211,2023-03-16 01:47:32.745210886,835.476789114,2023-03-16 01:47:32
1678920459.713372,185.175.0.3,185.175.0.8,1678931259.713372,2023-03-16 01:47:39.713371992,828.508628008,2023-03-16 01:47:39
1678920460.749245,185.175.0.3,185.175.0.8,1678931260.749245,2023-03-16 01:47:40.749244928,827.472755072,2023-03-16 01:47:40
1678920462.761208,185.175.0.3,185.175.0.8,1678931262.761208,2023-03-16 01:47:42.761208057,825.460791943,2023-03-16 01:47:42
1678920469.725344,185.175.0.3,185.175.0.8,1678931269.725344,2023-03-16 01:47:49.725343943,818.496656057,2023-03-16 01:47:49
1678920470.729202,185.175.0.3,185.175.0.8,1678931270.729202,2023-03-16 01:47:50.729202032,817.492797968,2023-03-16 01:47:50
1678920472.749207,185.175.0.3,185.175.0.8,1678931272.749207,2023-03-16 01:47:52.749207020,815.47279298,2023-03-16 01:47:52
1678920479.733342,185.175.0.3,185.175.0.8,1678931279.733342,2023-03-16 01:47:59.733341932,808.488658068,2023-03-16 01:47:59
1678920480.749205,185.175.0.3,185.175.0.8,1678931280.749205,2023-03-16 01:48:00.749205112,807.472794888,2023-03-16 01:48:00
1678920482.765209,185.175.0.3,185.175.0.8,1678931282.765209,2023-03-16 01:48:02.765208960,805.45679104,2023-03-16 01:48:02
1678920489.745341,185.175.0.3,185.175.0.8,1678931289.745341,2023-03-16 01:48:09.745341063,798.476658937,2023-03-16 01:48:09
1678920490.76521,185.175.0.3,185.175.0.8,1678931290.76521,2023-03-16 01:48:10.765209913,797.456790087,2023-03-16 01:48:10
1678920492.781209,185.175.0.3,185.175.0.8,1678931292.781209,2023-03-16 01:48:12.781208992,795.440791008,2023-03-16 01:48:12
1678920499.753346,185.175.0.3,185.175.0.8,1678931299.753346,2023-03-16 01:48:19.753345966,788.468654034,2023-03-16 01:48:19
1678920500.781208,185.175.0.3,185.175.0.8,1678931300.781208,2023-03-16 01:48:20.781208038,787.440791962,2023-03-16 01:48:20
1678920502.797209,185.175.0.3,185.175.0.8,1678931302.797209,2023-03-16 01:48:22.797209024,785.424790976,2023-03-16 01:48:22
1678920509.761349,185.175.0.3,185.175.0.8,1678931309.761349,2023-03-16 01:48:29.761348963,778.460651037,2023-03-16 01:48:29
1678920510.797206,185.175.0.3,185.175.0.8,1678931310.797206,2023-03-16 01:48:30.797205925,777.424794075,2023-03-16 01:48:30
1678920512.809212,185.175.0.3,185.175.0.8,1678931312.809212,2023-03-16 01:48:32.809211969,775.412788031,2023-03-16 01:48:32
1678920519.769348,185.175.0.3,185.175.0.8,1678931319.769348,2023-03-16 01:48:39.769347906,768.452652094,2023-03-16 01:48:39
1678920520.781209,185.175.0.3,185.175.0.8,1678931320.781209,2023-03-16 01:48:40.781208992,767.440791008,2023-03-16 01:48:40
1678920520.781248,185.175.0.8,185.175.0.3,1678931320.781248,2023-03-16 01:48:40.781248093,767.440751907,2023-03-16 01:48:40
1678920520.781282,185.175.0.3,185.175.0.8,1678931320.781282,2023-03-16 01:48:40.781281948,767.440718052,2023-03-16 01:48:40
1678920520.781439,185.175.0.3,185.175.0.8,1678931320.781439,2023-03-16 01:48:40.781439066,767.440560934,2023-03-16 01:48:40
1678920520.781457,185.175.0.8,185.175.0.3,1678931320.781457,2023-03-16 01:48:40.781456947,767.440543053,2023-03-16 01:48:40
1678920525.78534,185.175.0.3,185.175.0.8,1678931325.78534,2023-03-16 01:48:45.785340071,762.436659929,2023-03-16 01:48:45
1678920525.833216,185.175.0.8,185.175.0.3,1678931325.833216,2023-03-16 01:48:45.833215952,762.388784048,2023-03-16 01:48:45
1678920530.789848,185.175.0.3,185.175.0.8,1678931330.789848,2023-03-16 01:48:50.789848089,757.432151911,2023-03-16 01:48:50
1678920531.821201,185.175.0.3,185.175.0.8,1678931331.821201,2023-03-16 01:48:51.821201086,756.400798914,2023-03-16 01:48:51
1678920533.833212,185.175.0.3,185.175.0.8,1678931333.833212,2023-03-16 01:48:53.833211899,754.388788101,2023-03-16 01:48:53
1678920540.797339,185.175.0.3,185.175.0.8,1678931340.797339,2023-03-16 01:49:00.797338963,747.424661037,2023-03-16 01:49:00
1678920541.805219,185.175.0.3,185.175.0.8,1678931341.805219,2023-03-16 01:49:01.805218935,746.416781065,2023-03-16 01:49:01
1678920543.817207,185.175.0.3,185.175.0.8,1678931343.817207,2023-03-16 01:49:03.817207098,744.404792902,2023-03-16 01:49:03
1678920550.805338,185.175.0.3,185.175.0.8,1678931350.805338,2023-03-16 01:49:10.805337906,737.416662094,2023-03-16 01:49:10
1678920551.817216,185.175.0.3,185.175.0.8,1678931351.817216,2023-03-16 01:49:11.817215919,736.404784081,2023-03-16 01:49:11
1678920553.837202,185.175.0.3,185.175.0.8,1678931353.837202,2023-03-16 01:49:13.837202072,734.384797928,2023-03-16 01:49:13
1678920560.813348,185.175.0.3,185.175.0.8,1678931360.813348,2023-03-16 01:49:20.813348055,727.408651945,2023-03-16 01:49:20
1678920561.837209,185.175.0.3,185.175.0.8,1678931361.837209,2023-03-16 01:49:21.837208986,726.384791014,2023-03-16 01:49:21
1678920563.853209,185.175.0.3,185.175.0.8,1678931363.853209,2023-03-16 01:49:23.853209019,724.368790981,2023-03-16 01:49:23
1678920570.825291,185.175.0.3,185.175.0.8,1678931370.825291,2023-03-16 01:49:30.825290918,717.396709082,2023-03-16 01:49:30
1678920571.853206,185.175.0.3,185.175.0.8,1678931371.853206,2023-03-16 01:49:31.853205919,716.368794081,2023-03-16 01:49:31
1678920573.86926,185.175.0.3,185.175.0.8,1678931373.86926,2023-03-16 01:49:33.869260073,714.352739927,2023-03-16 01:49:33
1678920580.833333,185.175.0.3,185.175.0.8,1678931380.833333,2023-03-16 01:49:40.833333015,707.388666985,2023-03-16 01:49:40
1678920581.869219,185.175.0.3,185.175.0.8,1678931381.869219,2023-03-16 01:49:41.869219065,706.352780935,2023-03-16 01:49:41
1678920583.885203,185.175.0.3,185.175.0.8,1678931383.885203,2023-03-16 01:49:43.885202885,704.336797115,2023-03-16 01:49:43
1678920590.845345,185.175.0.3,185.175.0.8,1678931390.845345,2023-03-16 01:49:50.845345020,697.37665498,2023-03-16 01:49:50
1678920591.84966,185.175.0.3,185.175.0.8,1678931391.84966,2023-03-16 01:49:51.849659920,696.37234008,2023-03-16 01:49:51
1678920593.869201,185.175.0.3,185.175.0.8,1678931393.869201,2023-03-16 01:49:53.869200945,694.352799055,2023-03-16 01:49:53
1678920600.853345,185.175.0.3,185.175.0.8,1678931400.853345,2023-03-16 01:50:00.853344917,687.368655083,2023-03-16 01:50:00
1678920601.869208,185.175.0.3,185.175.0.8,1678931401.869208,2023-03-16 01:50:01.869208097,686.352791903,2023-03-16 01:50:01
1678920603.885209,185.175.0.3,185.175.0.8,1678931403.885209,2023-03-16 01:50:03.885209084,684.336790916,2023-03-16 01:50:03
1678920610.861347,185.175.0.3,185.175.0.8,1678931410.861347,2023-03-16 01:50:10.861346960,677.36065304,2023-03-16 01:50:10
1678920611.8852,185.175.0.3,185.175.0.8,1678931411.8852,2023-03-16 01:50:11.885200024,676.336799976,2023-03-16 01:50:11
1678920613.901213,185.175.0.3,185.175.0.8,1678931413.901213,2023-03-16 01:50:13.901212931,674.320787069,2023-03-16 01:50:13
1678920620.869334,185.175.0.3,185.175.0.8,1678931420.869334,2023-03-16 01:50:20.869333982,667.352666018,2023-03-16 01:50:20
1678920621.901196,185.175.0.3,185.175.0.8,1678931421.901196,2023-03-16 01:50:21.901196003,666.320803997,2023-03-16 01:50:21
1678920623.917207,185.175.0.3,185.175.0.8,1678931423.917207,2023-03-16 01:50:23.917207003,664.304792997,2023-03-16 01:50:23
1678920630.881333,185.175.0.3,185.175.0.8,1678931430.881333,2023-03-16 01:50:30.881333113,657.340666887,2023-03-16 01:50:30
1678920631.917211,185.175.0.3,185.175.0.8,1678931431.917211,2023-03-16 01:50:31.917211056,656.304788944,2023-03-16 01:50:31
1678920633.933208,185.175.0.3,185.175.0.8,1678931433.933208,2023-03-16 01:50:33.933207989,654.288792011,2023-03-16 01:50:33
1678920640.889341,185.175.0.3,185.175.0.8,1678931440.889341,2023-03-16 01:50:40.889341116,647.332658884,2023-03-16 01:50:40
1678920641.897222,185.175.0.3,185.175.0.8,1678931441.897222,2023-03-16 01:50:41.897222042,646.324777958,2023-03-16 01:50:41
1678920643.913209,185.175.0.3,185.175.0.8,1678931443.913209,2023-03-16 01:50:43.913208961,644.308791039,2023-03-16 01:50:43
1678920650.898482,185.175.0.3,185.175.0.8,1678931450.898482,2023-03-16 01:50:50.898482084,637.323517916,2023-03-16 01:50:50
1678920650.898509,185.175.0.8,185.175.0.3,1678931450.898509,2023-03-16 01:50:50.898509026,637.323490974,2023-03-16 01:50:50
1678920650.898535,185.175.0.3,185.175.0.8,1678931450.898535,2023-03-16 01:50:50.898535013,637.323464987,2023-03-16 01:50:50
1678920650.909206,185.175.0.3,185.175.0.8,1678931450.909206,2023-03-16 01:50:50.909205914,637.312794086,2023-03-16 01:50:50
1678920652.937215,185.175.0.3,185.175.0.8,1678931452.937215,2023-03-16 01:50:52.937215090,635.28478491,2023-03-16 01:50:52
1678920652.937252,185.175.0.8,185.175.0.3,1678931452.937252,2023-03-16 01:50:52.937252045,635.284747955,2023-03-16 01:50:52
1678920652.937285,185.175.0.3,185.175.0.8,1678931452.937285,2023-03-16 01:50:52.937284946,635.284715054,2023-03-16 01:50:52
1678920652.937443,185.175.0.3,185.175.0.8,1678931452.937443,2023-03-16 01:50:52.937443018,635.284556982,2023-03-16 01:50:52
1678920652.937461,185.175.0.8,185.175.0.3,1678931452.937461,2023-03-16 01:50:52.937460899,635.284539101,2023-03-16 01:50:52
1678920657.941333,185.175.0.3,185.175.0.8,1678931457.941333,2023-03-16 01:50:57.941333055,630.280666945,2023-03-16 01:50:57
1678920657.989209,185.175.0.8,185.175.0.3,1678931457.989209,2023-03-16 01:50:57.989208937,630.232791063,2023-03-16 01:50:57
1678920662.947663,185.175.0.3,185.175.0.8,1678931462.947663,2023-03-16 01:51:02.947663069,625.274336931,2023-03-16 01:51:02
1678920663.977216,185.175.0.3,185.175.0.8,1678931463.977216,2023-03-16 01:51:03.977216005,624.244783995,2023-03-16 01:51:03
1678920665.993215,185.175.0.3,185.175.0.8,1678931465.993215,2023-03-16 01:51:05.993215084,622.228784916,2023-03-16 01:51:05
1678920672.953354,185.175.0.3,185.175.0.8,1678931472.953354,2023-03-16 01:51:12.953353882,615.268646118,2023-03-16 01:51:12
1678920672.953383,185.175.0.8,185.175.0.3,1678931472.953383,2023-03-16 01:51:12.953382969,615.268617031,2023-03-16 01:51:12
1678920672.953411,185.175.0.3,185.175.0.8,1678931472.953411,2023-03-16 01:51:12.953411102,615.268588898,2023-03-16 01:51:12
1678920672.965208,185.175.0.3,185.175.0.8,1678931472.965208,2023-03-16 01:51:12.965208054,615.256791946,2023-03-16 01:51:12
1678920674.985207,185.175.0.3,185.175.0.8,1678931474.985207,2023-03-16 01:51:14.985207081,613.236792919,2023-03-16 01:51:14
1678920682.969317,185.175.0.3,185.175.0.8,1678931482.969317,2023-03-16 01:51:22.969316959,605.252683041,2023-03-16 01:51:22
1678920683.977216,185.175.0.3,185.175.0.8,1678931483.977216,2023-03-16 01:51:23.977216005,604.244783995,2023-03-16 01:51:23
1678920685.99321,185.175.0.3,185.175.0.8,1678931485.99321,2023-03-16 01:51:25.993210077,602.228789923,2023-03-16 01:51:25
1678920692.977368,185.175.0.3,185.175.0.8,1678931492.977368,2023-03-16 01:51:32.977368116,595.244631884,2023-03-16 01:51:32
1678920693.993214,185.175.0.3,185.175.0.8,1678931493.993214,2023-03-16 01:51:33.993213892,594.228786108,2023-03-16 01:51:33
1678920696.009204,185.175.0.3,185.175.0.8,1678931496.009204,2023-03-16 01:51:36.009203911,592.212796089,2023-03-16 01:51:36
1678920702.985351,185.175.0.3,185.175.0.8,1678931502.985351,2023-03-16 01:51:42.985351086,585.236648914,2023-03-16 01:51:42
1678920704.009225,185.175.0.3,185.175.0.8,1678931504.009225,2023-03-16 01:51:44.009224892,584.212775108,2023-03-16 01:51:44
1678920706.025204,185.175.0.3,185.175.0.8,1678931506.025204,2023-03-16 01:51:46.025203943,582.196796057,2023-03-16 01:51:46
1678920712.993343,185.175.0.3,185.175.0.8,1678931512.993343,2023-03-16 01:51:52.993343115,575.228656885,2023-03-16 01:51:52
1678920714.025207,185.175.0.3,185.175.0.8,1678931514.025207,2023-03-16 01:51:54.025207043,574.196792957,2023-03-16 01:51:54
1678920716.041206,185.175.0.3,185.175.0.8,1678931516.041206,2023-03-16 01:51:56.041205883,572.180794117,2023-03-16 01:51:56
1678920723.001344,185.175.0.3,185.175.0.8,1678931523.001344,2023-03-16 01:52:03.001343966,565.220656034,2023-03-16 01:52:03
1678920724.009215,185.175.0.3,185.175.0.8,1678931524.009215,2023-03-16 01:52:04.009215117,564.212784883,2023-03-16 01:52:04
1678920726.025211,185.175.0.3,185.175.0.8,1678931526.025211,2023-03-16 01:52:06.025211096,562.196788904,2023-03-16 01:52:06
1678920733.009351,185.175.0.3,185.175.0.8,1678931533.009351,2023-03-16 01:52:13.009351015,555.212648985,2023-03-16 01:52:13
1678920734.025211,185.175.0.3,185.175.0.8,1678931534.025211,2023-03-16 01:52:14.025211096,554.196788904,2023-03-16 01:52:14
1678920736.041205,185.175.0.3,185.175.0.8,1678931536.041205,2023-03-16 01:52:16.041204929,552.180795071,2023-03-16 01:52:16
1678920743.021344,185.175.0.3,185.175.0.8,1678931543.021344,2023-03-16 01:52:23.021343946,545.200656054,2023-03-16 01:52:23
1678920744.045208,185.175.0.3,185.175.0.8,1678931544.045208,2023-03-16 01:52:24.045207977,544.176792023,2023-03-16 01:52:24
1678920746.057239,185.175.0.3,185.175.0.8,1678931546.057239,2023-03-16 01:52:26.057239056,542.164760944,2023-03-16 01:52:26
1678920753.033362,185.175.0.3,185.175.0.8,1678931553.033362,2023-03-16 01:52:33.033361912,535.188638088,2023-03-16 01:52:33
1678920753.03339,185.175.0.8,185.175.0.3,1678931553.03339,2023-03-16 01:52:33.033390045,535.188609955,2023-03-16 01:52:33
1678920753.033416,185.175.0.3,185.175.0.8,1678931553.033416,2023-03-16 01:52:33.033416032,535.188583968,2023-03-16 01:52:33
1678920753.04933,185.175.0.3,185.175.0.8,1678931553.04933,2023-03-16 01:52:33.049329996,535.172670004,2023-03-16 01:52:33
1678920755.049206,185.175.0.3,185.175.0.8,1678931555.049206,2023-03-16 01:52:35.049206018,533.172793982,2023-03-16 01:52:35
1678920763.041352,185.175.0.3,185.175.0.8,1678931563.041352,2023-03-16 01:52:43.041352034,525.180647966,2023-03-16 01:52:43
1678920764.077213,185.175.0.3,185.175.0.8,1678931564.077213,2023-03-16 01:52:44.077213049,524.144786951,2023-03-16 01:52:44
1678920766.0932,185.175.0.3,185.175.0.8,1678931566.0932,2023-03-16 01:52:46.093199968,522.128800032,2023-03-16 01:52:46
1678920773.049358,185.175.0.3,185.175.0.8,1678931573.049358,2023-03-16 01:52:53.049357891,515.172642109,2023-03-16 01:52:53
1678920774.061201,185.175.0.3,185.175.0.8,1678931574.061201,2023-03-16 01:52:54.061201096,514.160798904,2023-03-16 01:52:54
1678920776.077204,185.175.0.3,185.175.0.8,1678931576.077204,2023-03-16 01:52:56.077203989,512.144796011,2023-03-16 01:52:56
1678920783.057345,185.175.0.3,185.175.0.8,1678931583.057345,2023-03-16 01:53:03.057344913,505.164655087,2023-03-16 01:53:03
1678920783.057381,185.175.0.8,185.175.0.3,1678931583.057381,2023-03-16 01:53:03.057380915,505.164619085,2023-03-16 01:53:03
1678920783.057423,185.175.0.3,185.175.0.8,1678931583.057423,2023-03-16 01:53:03.057423115,505.164576885,2023-03-16 01:53:03
1678920783.057539,185.175.0.3,185.175.0.8,1678931583.057539,2023-03-16 01:53:03.057538986,505.164461014,2023-03-16 01:53:03
1678920783.057556,185.175.0.8,185.175.0.3,1678931583.057556,2023-03-16 01:53:03.057555914,505.164444086,2023-03-16 01:53:03
1678920788.061337,185.175.0.3,185.175.0.8,1678931588.061337,2023-03-16 01:53:08.061336994,500.160663006,2023-03-16 01:53:08
1678920788.109206,185.175.0.8,185.175.0.3,1678931588.109206,2023-03-16 01:53:08.109205961,500.112794039,2023-03-16 01:53:08
1678920793.065341,185.175.0.3,185.175.0.8,1678931593.065341,2023-03-16 01:53:13.065340996,495.156659004,2023-03-16 01:53:13
1678920794.093221,185.175.0.3,185.175.0.8,1678931594.093221,2023-03-16 01:53:14.093220949,494.128779051,2023-03-16 01:53:14
1678920796.10921,185.175.0.3,185.175.0.8,1678931596.10921,2023-03-16 01:53:16.109210014,492.112789986,2023-03-16 01:53:16
1678920803.073652,185.175.0.3,185.175.0.8,1678931603.073652,2023-03-16 01:53:23.073652029,485.148347971,2023-03-16 01:53:23
1678920804.109202,185.175.0.3,185.175.0.8,1678931604.109202,2023-03-16 01:53:24.109201908,484.112798092,2023-03-16 01:53:24
1678920806.125198,185.175.0.3,185.175.0.8,1678931606.125198,2023-03-16 01:53:26.125197887,482.096802113,2023-03-16 01:53:26
1678920813.081345,185.175.0.3,185.175.0.8,1678931613.081345,2023-03-16 01:53:33.081345081,475.140654919,2023-03-16 01:53:33
1678920814.089201,185.175.0.3,185.175.0.8,1678931614.089201,2023-03-16 01:53:34.089200974,474.132799026,2023-03-16 01:53:34
1678920816.105203,185.175.0.3,185.175.0.8,1678931616.105203,2023-03-16 01:53:36.105202913,472.116797087,2023-03-16 01:53:36
1678920823.093334,185.175.0.3,185.175.0.8,1678931623.093334,2023-03-16 01:53:43.093333960,465.12866604,2023-03-16 01:53:43
1678920824.109207,185.175.0.3,185.175.0.8,1678931624.109207,2023-03-16 01:53:44.109206915,464.112793085,2023-03-16 01:53:44
1678920826.121204,185.175.0.3,185.175.0.8,1678931626.121204,2023-03-16 01:53:46.121203899,462.100796101,2023-03-16 01:53:46
1678920833.101344,185.175.0.3,185.175.0.8,1678931633.101344,2023-03-16 01:53:53.101344109,455.120655891,2023-03-16 01:53:53
1678920834.121203,185.175.0.3,185.175.0.8,1678931634.121203,2023-03-16 01:53:54.121202946,454.100797054,2023-03-16 01:53:54
1678920836.137203,185.175.0.3,185.175.0.8,1678931636.137203,2023-03-16 01:53:56.137202978,452.084797022,2023-03-16 01:53:56
1678920843.109337,185.175.0.3,185.175.0.8,1678931643.109337,2023-03-16 01:54:03.109337091,445.112662909,2023-03-16 01:54:03
1678920844.141209,185.175.0.3,185.175.0.8,1678931644.141209,2023-03-16 01:54:04.141208887,444.080791113,2023-03-16 01:54:04
1678920846.153209,185.175.0.3,185.175.0.8,1678931646.153209,2023-03-16 01:54:06.153208971,442.068791029,2023-03-16 01:54:06
1678920853.11739,185.175.0.3,185.175.0.8,1678931653.11739,2023-03-16 01:54:13.117389917,435.104610083,2023-03-16 01:54:13
1678920854.125214,185.175.0.3,185.175.0.8,1678931654.125214,2023-03-16 01:54:14.125214100,434.0967859,2023-03-16 01:54:14
1678920856.141218,185.175.0.3,185.175.0.8,1678931656.141218,2023-03-16 01:54:16.141217947,432.080782053,2023-03-16 01:54:16
1678920863.125328,185.175.0.3,185.175.0.8,1678931663.125328,2023-03-16 01:54:23.125328063,425.096671937,2023-03-16 01:54:23
1678920864.141213,185.175.0.3,185.175.0.8,1678931664.141213,2023-03-16 01:54:24.141212940,424.08078706,2023-03-16 01:54:24
1678920866.157206,185.175.0.3,185.175.0.8,1678931666.157206,2023-03-16 01:54:26.157206059,422.064793941,2023-03-16 01:54:26
1678920873.13335,185.175.0.3,185.175.0.8,1678931673.13335,2023-03-16 01:54:33.133349895,415.088650105,2023-03-16 01:54:33
1678920874.157202,185.175.0.3,185.175.0.8,1678931674.157202,2023-03-16 01:54:34.157202005,414.064797995,2023-03-16 01:54:34
